"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","nt_total","pt_EPT","pi_EphemNoCaeBae","pi_ffg_filt","pt_ffg_pred","pt_tv_intol","pi_Pleco","pi_ffg_shred","pi_tv_intol","x_Becks"
"2000046",42.523174,-72.627073,"B0235","9/27/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",101,27,44.4444444444444,16.8316831683168,39.6039603960396,7.40740740740741,33.3333333333333,0,13.8613861386139,20.7920792079208,18
"2001001",42.398058,-71.658249,"B0461","7/2/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",96,34,38.2352941176471,3.125,26.0416666666667,20.5882352941176,32.3529411764706,17.7083333333333,18.75,38.5416666666667,21
"2001002",42.292816,-71.656948,"B0462","7/3/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",92,22,31.8181818181818,1.08695652173913,33.695652173913,4.54545454545455,18.1818181818182,0,5.43478260869565,5.43478260869565,10
"2001003",42.385487,-71.530367,"B0198","7/3/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",95,20,25,0,29.4736842105263,5,10,0,3.15789473684211,26.3157894736842,9
"2001004",42.474671,-71.376501,"B0463","7/3/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",110,22,22.7272727272727,0,52.7272727272727,18.1818181818182,4.54545454545455,0,9.09090909090909,0.909090909090909,4
"2001005",42.359101,-71.343895,"B0199","7/5/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",92,23,17.3913043478261,0,36.9565217391304,8.69565217391304,13.0434782608696,1.08695652173913,2.17391304347826,8.69565217391304,9
"2001007",42.258166,-71.500851,"B0202","7/5/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",86,22,27.2727272727273,1.16279069767442,25.5813953488372,27.2727272727273,27.2727272727273,32.5581395348837,31.3953488372093,39.5348837209302,13
"2001008",42.305075,-71.62843,"B0359","7/18/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",96,15,20,0,62.5,6.66666666666667,6.66666666666667,0,6.25,2.08333333333333,3
"2001009",42.27151,-71.632538,"B0466","7/18/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",92,11,54.5454545454545,9.78260869565217,39.1304347826087,0,9.09090909090909,0,14.1304347826087,9.78260869565217,4
"2001010",42.405892,-71.526405,"B0389","7/19/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",95,15,40,0,82.1052631578947,0,6.66666666666667,0,1.05263157894737,1.05263157894737,5
"2001011",42.387893,-71.563055,"B0465","7/19/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",107,18,38.8888888888889,0.934579439252336,58.8785046728972,5.55555555555556,11.1111111111111,0,1.86915887850467,2.80373831775701,3
"2001012",42.289836,-71.439527,"B0484","7/19/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",99,10,30,0,81.8181818181818,0,0,0,3.03030303030303,0,3
