"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","nt_total","pt_EPT","pi_EphemNoCaeBae","pi_ffg_filt","pt_ffg_pred","pt_tv_intol","pi_Pleco","pi_ffg_shred","pi_tv_intol","x_Becks","SC_nt_total","SC_pt_EPT","SC_pi_EphemNoCaeBae","SC_pi_ffg_filt","SC_pt_ffg_pred","SC_pt_tv_intol","SC_pi_Pleco","SC_pi_ffg_shred","SC_pi_tv_intol","SC_x_Becks","sum_Index","Index","Index_Nar"
"2000006",42.660109,-71.007554,"B0157","7/17/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",103,29,27.5862068965517,0.970873786407767,20.3883495145631,27.5862068965517,31.0344827586207,9.70873786407767,3.88349514563107,19.4174757281553,21,83.0945558739255,50.6168933881683,6.98470349933645,88.9561292756904,96.7937084089534,79.3720786665491,NA,NA,NA,NA,405.818069112623,67.6363448521039,"Satisfactory"
"2000009",42.661044,-70.844894,"B0439","7/19/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",91,11,9.09090909090909,0,17.5824175824176,0,0,0,0,0,1,31.5186246418338,16.6805671392827,0,93.1503474104371,0,0,NA,NA,NA,NA,141.349539191554,23.5582565319256,"Severely Degraded"
"2000010",42.660748,-70.903712,"B0440","7/19/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",102,22,36.3636363636364,5.88235294117647,27.4509803921569,18.1818181818182,36.3636363636364,16.6666666666667,18.6274509803922,31.3725490196078,18,63.0372492836676,66.7222685571309,42.3190859077444,78.399132448196,63.7958532695375,93.0016275284818,NA,NA,NA,NA,407.275216994758,67.8792028324597,"Satisfactory"
"2000011",42.562283,-71.109284,"B0441","7/19/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",106,20,5,0,52.8301886792453,10,0,0,3.77358490566038,0,0,57.3065902578797,9.1743119266055,0,40.4630961446259,35.0877192982456,0,NA,NA,NA,NA,142.031717627357,23.6719529378928,"Severely Degraded"
"2000014",42.592316,-72.495222,"B0444","9/11/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",96,21,52.3809523809524,12.5,39.5833333333333,4.76190476190476,33.3333333333333,1.04166666666667,1.04166666666667,20.8333333333333,14,60.1719197707736,96.1118392311053,89.9280575539568,60.2640757349278,16.7084377610693,85.2514919011083,NA,NA,NA,NA,408.435821952941,68.0726369921569,"Satisfactory"
"2000015",42.57641,-72.466338,"B0445","9/11/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",102,23,47.8260869565217,7.84313725490196,15.6862745098039,17.3913043478261,43.4782608695652,8.82352941176471,6.86274509803922,32.3529411764706,21,65.9025787965616,87.7542879936179,56.4254478769925,95.9846419883349,61.022120518688,100,NA,NA,NA,NA,467.089077174195,77.8481795290325,"Exceptional"
"2000017",42.598139,-72.437622,"B0446","9/11/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",91,23,52.1739130434783,13.1868131868132,54.9450549450549,4.34782608695652,30.4347826086957,0,1.0989010989011,15.3846153846154,14,65.9025787965616,95.7319505384922,94.869159617361,37.3018610686772,15.255530129672,77.8383186923162,NA,NA,NA,NA,386.89939884308,64.4832331405134,"Satisfactory"
"2000019",42.614562,-72.238155,"B0227","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",110,22,45.4545454545455,8.18181818181818,45.4545454545455,13.6363636363636,31.8181818181818,0,0.909090909090909,25.4545454545455,13,63.0372492836676,83.4028356964137,58.8620013080445,51.4879739094986,47.8468899521531,81.3764240874215,NA,NA,NA,NA,386.013374237199,64.3355623728665,"Satisfactory"
"2000020",42.651487,-72.198629,"B0447","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",96,21,19.047619047619,5.20833333333333,30.2083333333333,14.2857142857143,19.047619047619,0,0,12.5,9,60.1719197707736,34.9497597204019,37.4700239808153,74.277528649726,50.125313283208,48.7151382292047,NA,NA,NA,NA,305.70968363413,50.9516139390216,"Moderately Degraded"
"2000022",42.681872,-72.1145,"B0448","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",97,25,36,14.4329896907216,42.2680412371134,20,28,2.06185567010309,2.06185567010309,32.9896907216495,15,71.6332378223496,66.0550458715596,100,56.2510594363028,70.1754385964912,71.6112531969309,NA,NA,NA,NA,435.726034923634,72.6210058206057,"Satisfactory"
"2000023",42.629064,-72.151983,"B0459","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",102,28,35.7142857142857,1.96078431372549,38.2352941176471,10.7142857142857,10.7142857142857,0,12.7450980392157,8.82352941176471,8,80.2292263610315,65.5307994757536,14.1063619692481,62.279082036402,37.593984962406,27.4022652539277,NA,NA,NA,NA,287.141720058769,47.8569533431282,"Moderately Degraded"
"2000024A.1",42.68846,-72.179348,"B0449","9/13/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",99,33,42.4242424242424,15.1515151515152,35.3535353535354,18.1818181818182,33.3333333333333,0,4.04040404040404,45.4545454545455,19,94.5558739255014,77.8426466499861,100,66.5866437166886,63.7958532695375,85.2514919011083,NA,NA,NA,NA,488.032509462822,81.338751577137,"Exceptional"
